user_id,movie_name,activity_date,status,watch_time_minutes,country_code
1,Avengers: Endgame,2025-04-10,started,52,US
1,Inside Out,2024-11-10,started,42,US
1,Knives Out,2024-10-27,started,6,US
1,Turning Red,2024-12-13,started,19,US
1,Spider-Man: No Way Home,2025-03-22,started,6,US
1,Inside Out,2024-12-08,started,50,US
1,Inside Out,2025-02-03,started,19,US
1,Get Out,2025-03-18,started,22,US
1,Inception,2024-11-28,started,49,US
1,Knives Out,2025-01-14,started,22,US
1,Top Gun: Maverick,2024-12-13,started,53,US
1,Parasite,2024-11-14,started,10,US
1,Moonlight,2024-11-12,started,27,US
1,Arrival,2025-03-22,started,21,US
1,Fight Club,2025-04-23,started,34,US
1,Inside Out,2024-11-19,finished,156,US
1,Turning Red,2025-03-09,finished,135,US
1,Arrival,2025-03-15,finished,109,US
1,Turning Red,2024-10-30,finished,118,US
2,Arrival,2025-01-13,started,28,US
2,Arrival,2025-01-16,started,47,US
2,Soul,2025-02-16,started,48,US
2,Turning Red,2025-02-10,started,45,US
2,Bohemian Rhapsody,2025-02-06,started,51,US
2,Her,2025-01-13,started,34,US
2,Moonlight,2025-01-20,started,45,US
2,Inside Out,2025-01-17,started,48,US
2,Parasite,2025-02-25,started,54,US
2,Fight Club,2025-01-17,started,57,US
2,Fight Club,2025-02-23,started,25,US
2,Moonlight,2025-01-20,started,9,US
2,The Shawshank Redemption,2025-03-02,started,41,US
2,Parasite,2025-01-16,started,46,US
2,Big Hero 6,2025-01-28,started,46,US
2,Get Out,2025-01-12,started,21,US
2,Top Gun: Maverick,2025-01-18,started,52,US
2,Inside Out,2025-02-06,started,21,US
2,The Revenant,2025-01-30,finished,162,US
2,Arrival,2025-01-17,finished,95,US
2,Spider-Man: No Way Home,2025-02-03,finished,83,US
2,Fight Club,2025-02-27,finished,88,US
2,Top Gun: Maverick,2025-02-12,finished,100,US
2,Knives Out,2025-02-10,finished,76,US
2,Moonlight,2025-01-27,finished,179,US
2,Spider-Man: No Way Home,2025-01-19,finished,62,US
2,Avengers: Endgame,2025-02-15,finished,197,US
2,Soul,2025-02-21,finished,147,US
2,Avengers: Endgame,2025-01-21,finished,171,US
2,Bohemian Rhapsody,2025-02-01,finished,60,US
2,Soul,2025-02-04,finished,105,US
2,Spider-Man: No Way Home,2025-03-02,finished,87,US
3,Bohemian Rhapsody,2025-06-04,started,54,CA
3,Spider-Man: No Way Home,2025-01-17,started,43,CA
3,Parasite,2025-05-22,started,6,CA
3,Avengers: Endgame,2025-04-19,started,58,CA
3,Whiplash,2025-03-19,started,8,CA
3,Her,2025-06-11,started,10,CA
3,Turning Red,2025-05-21,started,57,CA
3,Turning Red,2025-06-02,started,54,CA
3,Top Gun: Maverick,2025-02-18,started,47,CA
3,Big Hero 6,2025-06-06,started,15,CA
3,Soul,2025-06-01,finished,168,CA
3,The Shawshank Redemption,2025-06-04,finished,111,CA
3,Whiplash,2025-04-29,finished,155,CA
3,Get Out,2025-05-29,finished,175,CA
3,Avengers: Endgame,2025-03-21,finished,117,CA
4,Inception,2023-06-08,started,50,CA
4,Fight Club,2023-11-17,started,9,CA
4,Fight Club,2024-02-29,started,9,CA
4,Spider-Man: No Way Home,2023-11-26,started,22,CA
4,Big Hero 6,2023-11-02,started,39,CA
4,Top Gun: Maverick,2024-11-01,started,41,CA
4,Big Hero 6,2023-12-01,started,55,CA
4,Big Hero 6,2024-05-17,started,17,CA
4,Avengers: Endgame,2023-07-05,started,47,CA
4,Knives Out,2024-03-24,started,32,CA
4,Knives Out,2024-07-18,started,60,CA
